timestamp,ID,symbol,action,confidence_score,expiry_minutes,engine_used,reason_th
2026-09-20T00:25:01.836405,GBPJPYOTC0920002501,GBPJPY-OTC,PUT,85,5,AI (gemini-3.5-flash-lite),แนวโน้มหลักทั้ง M5 และ M15 เป็นขาลงอย่างชัดเจน สอดคล้องกับสัญญาณ MACD และ RSI ที่ยังคงกดดันต่อเนื่อง
2026-09-20T00:26:15.154385,GBPJPYOTC0920002615,GBPJPY-OTC,PUT,85,5,AI (gemini-3.5-flash-lite),แนวโน้มหลักและ M5 เป็นขาลงอย่างชัดเจนพร้อมความสอดคล้องของ Multi-Timeframe 100%
2026-09-20T00:27:03.586884,GBPJPYOTC0920002703,GBPJPY-OTC,PUT,85,5,AI (gemini-3.5-flash-lite),แนวโน้มหลักและโครงสร้างราคาใน M5 และ M15 เป็นขาลงอย่างชัดเจน สอดคล้องกับการเคลื่อนที่กดต่ำลงต่อเนื่อง
2026-09-20T00:28:01.831199,GBPJPYOTC0920002801,GBPJPY-OTC,PUT,85,5,AI (gemini-3.5-flash-lite),แนวโน้มหลักและโครงสร้างราคาใน M5 และ M15 เป็นขาลงอย่างชัดเจนพร้อมความสอดคล้องของ Multi-Timeframe 100%
2026-09-20T00:29:02.953765,GBPJPYOTC0920002902,GBPJPY-OTC,PUT,85,5,AI (gemini-3.5-flash-lite),แนวโน้มหลัก M15 และ M5 เป็นขาลงสอดคล้องกันพร้อมสัญญาณ Bearish Continuation ในเขตแนวต้าน
2026-09-20T00:30:09.549110,GBPJPYOTC0920003009,GBPJPY-OTC,PUT,85,5,AI (gemini-3.5-flash-lite),แนวโน้มหลักและ M5 เป็นขาลงอย่างชัดเจน สอดคล้องกับสัญญาณ MACD และ Stochastic ที่เตรียมกลับตัวลงต่อตามเทรนด์
2026-09-20T00:31:01.871941,GBPJPYOTC0920003101,GBPJPY-OTC,PUT,85,5,AI (gemini-3.5-flash-lite),M15 และ M5 มีแนวโน้มหลักเป็นขาลงอย่างชัดเจน สอดคล้องกับสัญญาณ MACD และ RSI ในเขตขายมาก่อนหน้า
2026-09-20T00:32:01.943658,GBPJPYOTC0920003201,GBPJPY-OTC,PUT,85,5,AI (gemini-3.5-flash-lite),แนวโน้มหลักทุก Timeframe เป็นขาลงอย่างแข็งแกร่งและสอดคล้องกับสัญญาณ Bearish สอดรับกับการเข้าเทรด PUT
2026-09-20T00:33:03.092045,GBPJPYOTC0920003303,GBPJPY-OTC,PUT,85,5,AI (gemini-3.5-flash-lite),เทรนด์หลักและโครงสร้าง Multi-Timeframe เป็นขาลงชัดเจน สอดคล้องกับสัญญาณกดลงตามทิศทางแนวโน้ม
2026-09-20T00:34:03.333681,GBPJPYOTC0920003403,GBPJPY-OTC,PUT,85,5,AI (gemini-3.5-flash-lite),โครงสร้างราคาและแนวโน้มหลักทุก Timeframe สอดคล้องไปในทิศทางขาลงอย่างแข็งแกร่งตามสัญญาณ MTF Alignment
2026-09-20T00:35:03.695994,GBPJPYOTC0920003503,GBPJPY-OTC,PUT,85,5,AI (gemini-3.5-flash-lite),แนวโน้มหลักทั้ง M5 และ M15 เป็นขาลงอย่างแข็งแกร่งพร้อมสัญญาณบีบตัวของราคาต่อเนื่อง
2026-09-20T00:36:07.033365,GBPJPYOTC0920003607,GBPJPY-OTC,CALL,75,5,AI (gemini-3.5-flash-lite),เกิดสัญญาณ Bullish bias จากการสะสมราคาพร้อมรูปแบบ Bear Trap บริเวณแนวรับสำคัญ M5
2026-09-20T00:37:06.755645,GBPJPYOTC0920003706,GBPJPY-OTC,CALL,75,5,AI (gemini-3.5-flash-lite),ตลาดอยู่ในช่วงสะสมราคา Smart money มี Bullish bias และเกิด Bear trap บริเวณแนวรับสำคัญพร้อมกลับตัวขึ้น
2026-09-20T00:38:07.780698,GBPJPYOTC0920003807,GBPJPY-OTC,CALL,75,5,AI (gemini-3.5-flash-lite),ตลาดอยู่ในภาวะสะสมกำลังและเกิด Bear Trap บริเวณแนวรับสำคัญพร้อมสัญญาณ Bullish จาก M1 MACD ตัดขึ้น
2026-09-20T00:39:03.790561,GBPJPYOTC0920003903,GBPJPY-OTC,CALL,75,5,AI (gemini-3.5-flash-lite),บริบทตลาด M15 อยู่ในช่วงสะสมของ Smart Money ประกอบกับ M5 เกิดสัญญาณ Bear Trap ที่แนวรับและราคาเด้งกลับจาก Pivot
2026-09-20T00:40:08.555442,GBPJPYOTC0920004008,GBPJPY-OTC,CALL,72,5,AI (gemini-3.5-flash-lite),เกิดสัญญาณ Bear Trap บริเวณแนวรับสำคัญพร้อมแรงซื้อกลับและ Stochastic ใน M1 อยู่ในเขต Oversold ที่พร้อมตัดขึ้น
