timestamp,ID,symbol,action,confidence_score,expiry_minutes,engine_used,reason_th
2026-09-20T00:25:01.832395,AUDJPYOTC0920002501,AUDJPY-OTC,WAIT,45,5,AI (gemini-3.5-flash-lite),ตลาดอยู่ในภาวะ SIDEWAY_RANGE และมีความเสี่ยงสูง (HIGH risk) สัญญาณไม่ชัดเจนพอสำหรับการเข้าเทรด
2026-09-20T00:26:15.011335,AUDJPYOTC0920002615,AUDJPY-OTC,WAIT,45,5,AI (gemini-3.5-flash-lite),ตลาดอยู่ในภาวะ Sideway Range และมีสัญญาณ Bull Trap ควรหลีกเลี่ยงการเข้าเทรด
2026-09-20T00:27:03.523358,AUDJPYOTC0920002703,AUDJPY-OTC,WAIT,45,5,AI (gemini-3.5-flash-lite),ตลาดอยู่ในภาวะ Sideway Range และมีความเสี่ยง Bull Trap รวมถึงการเคลื่อนไหวที่ไร้ทิศทางชัดเจน ควรออรอดz
2026-09-20T00:28:01.826200,AUDJPYOTC0920002801,AUDJPY-OTC,WAIT,45,5,AI (gemini-3.5-flash-lite),ตลาดอยู่ในภาวะ Sideway Range และมีความเสี่ยง Bull Trap บริเวณแนวต้าน จึงควรหลีกเลี่ยงการเข้าเทรด
2026-09-20T00:29:02.944765,AUDJPYOTC0920002902,AUDJPY-OTC,PUT,75,5,AI (gemini-3.5-flash-lite),ราคาเข้าใกล้แนวต้าน M5 และเกิดสัญญาณ Bull Trap ในภาวะตลาดSideway จึงเลือกเปิดสัญญา PUT
2026-09-20T00:30:09.477109,AUDJPYOTC0920003009,AUDJPY-OTC,WAIT,45,5,AI (gemini-3.5-flash-lite),ตลาดอยู่ในภาวะ Sideway Range และ M1 กำลังย่อตัวลง แม้เทรนด์หลักจะเป็น Bullish แต่ความเสี่ยงจากความผันผวนและสภาวะตลาดแบบไร้ทิศทางชัดเจนทำให้ควรอดทนรอ
2026-09-20T00:31:01.859943,AUDJPYOTC0920003101,AUDJPY-OTC,PUT,75,5,AI (gemini-3.5-flash-lite),ราคาเข้าใกล้แนวต้าน M5 และ Stochastic อยู่ในเขต Overbought พร้อมเกิดแท่งเทียน M1 ปิดตัวเป็นลบในกรอบ Sideway Range
2026-09-20T00:32:01.940601,AUDJPYOTC0920003201,AUDJPY-OTC,CALL,85,5,AI (gemini-3.5-flash-lite),โครงสร้างราคาและแนวโน้ม M5 และ M15 เป็นขาขึ้นสอดคล้องกัน พร้อมแรงส่งซื้อสนับสนุนจากโมเมนตัมระยะสั้น
2026-09-20T00:33:03.086044,AUDJPYOTC0920003303,AUDJPY-OTC,WAIT,45,5,AI (gemini-3.5-flash-lite),Stochastic ใน M1 และ M5 อยู่ในเขต Overbought สูงมาก ประกอบกับตลาดเป็น Sideway Range มีความเสี่ยงในการกลับตัวสูง
2026-09-20T00:34:03.365681,AUDJPYOTC0920003403,AUDJPY-OTC,WAIT,45,5,AI (gemini-3.5-flash-lite),Stochastic ใน M1 และ M5 อยู่ในเขต overbought สูงมาก เสี่ยงต่อการกลับตัวในภาวะ Sideway
2026-09-20T00:35:03.648482,AUDJPYOTC0920003503,AUDJPY-OTC,WAIT,45,5,AI (gemini-3.5-flash-lite),M1 RSI และ Stoch อยู่ในภาวะ Overbought สูงมาก ประกอบกับตลาดอยู่ในกรอบ Sideway จึงมีความเสี่ยงในการกลับตัวสูง
2026-09-20T00:36:06.900833,AUDJPYOTC0920003606,AUDJPY-OTC,WAIT,45,5,AI (gemini-3.5-flash-lite),RSI ใน M1 อยู่ในเขต Overbought สูงมากและมีความเสี่ยง Divergence ใน M5 จึงควรหลีกเลี่ยงการเข้าเทรด
2026-09-20T00:37:07.003693,AUDJPYOTC0920003707,AUDJPY-OTC,WAIT,45,5,AI (gemini-3.5-flash-lite),ตลาดอยู่ในภาวะ Sideway Range และมีความเสี่ยงสูงในการกลับตัวบริเวณแนวต้านประกอบกับสัญญาณ Divergence
2026-09-20T00:38:07.576273,AUDJPYOTC0920003807,AUDJPY-OTC,WAIT,45,5,AI (gemini-3.5-flash-lite),มีความเสี่ยงสูงจากสัญญาณ Bearish Divergence และความผันผวนในกรอบ sideway จึงควรหลีกเลี่ยงการเทรด
2026-09-20T00:39:03.835119,AUDJPYOTC0920003903,AUDJPY-OTC,WAIT,45,5,AI (gemini-3.5-flash-lite),มีความเสี่ยงการกลับตัวจากสัญญาณ Bearish Divergence และ M5 Stoch อยู่ในเขต Overbought สูงเกินไป
2026-09-20T00:40:08.560741,AUDJPYOTC0920004008,AUDJPY-OTC,WAIT,40,5,AI (gemini-3.5-flash-lite),ตลาดอยู่ในภาวะ Sideway Range และมีความเสี่ยงสูงจากสัญญาณ Bearish Divergence จึงควรรอดูท่าที
2026-09-20T00:41:06.506176,AUDJPYOTC0920004106,AUDJPY-OTC,WAIT,45,5,AI (gemini-3.5-flash-lite),Stochastic อยู่ในเขต Overbought สูงมากและมีความเสี่ยง Bearish Divergence ประกอบกับความผันผวนสูง ควรหลีกเลี่ยงการเข้าเทรด
2026-09-20T00:42:10.744620,AUDJPYOTC0920004210,AUDJPY-OTC,WAIT,40,5,AI (gemini-3.5-flash-lite),ตลาดอยู่ในภาวะ Sideway Range และมีความเสี่ยงสูงจากสัญญาณ Bearish Divergence จึงควรรอดูท่าที
2026-09-20T00:43:06.805758,AUDJPYOTC0920004306,AUDJPY-OTC,WAIT,45,5,AI (gemini-3.5-flash-lite),ตลาดอยู่ในภาวะ Sideway Range และมีความเสี่ยงสูงจากสัญญาณ Bearish Divergence ระยะสั้น
2026-09-20T00:44:08.687768,AUDJPYOTC0920004408,AUDJPY-OTC,WAIT,45,5,AI (gemini-3.5-flash-lite),ตลาดอยู่ในภาวะSidewayและมีความเสี่ยงสูงจากการเกิดBearish Divergence จึงควรรอจังหวะที่ชัดเจนกว่านี้
2026-09-20T00:45:22.794737,AUDJPYOTC0920004522,AUDJPY-OTC,WAIT,45,5,AI (gemini-3.5-flash-lite),ตลาดอยู่ในภาวะสะสมตัวและมีความเสี่ยงสูงจากการเกิดรูปแบบ Evening Star รวมถึงสัญญาณ Divergence ฝั่งขาลง
2026-09-20T00:46:10.466700,AUDJPYOTC0920004610,AUDJPY-OTC,WAIT,45,5,AI (gemini-3.5-flash-lite),มีความเสี่ยงจากการกลับตัวระยะสั้นรูปแบบ Evening Star และสัญญาณ Divergence ฝั่งขาลง
2026-09-20T00:47:04.728519,AUDJPYOTC0920004704,AUDJPY-OTC,WAIT,45,5,AI (gemini-3.5-flash-lite),มีความเสี่ยงสูงจากการเกิดรูปแบบ Evening Star และสัญญาณ Divergence ฝั่งขาลงในกรอบ M5
2026-09-20T00:48:10.886818,AUDJPYOTC0920004810,AUDJPY-OTC,WAIT,48,5,AI (gemini-3.5-flash-lite),มีความเสี่ยงสูงจากสัญญาณ Bearish Divergence และรูปแบบ Evening Star ในกรอบ M5 แม้แนวโน้มหลักจะเป็น Bullish จึงควรอดทนรอจังหวะที่ชัดเจนกว่านี้
2026-09-20T00:49:12.338197,AUDJPYOTC0920004912,AUDJPY-OTC,WAIT,45,5,AI (gemini-3.5-flash-lite),ตลาดอยู่ในภาวะสะสมตัวและมีความเสี่ยงสูงจากรูปแบบ Evening Star พร้อมสัญญาณ Divergence ฝั่งขาลง
2026-09-20T00:50:06.958642,AUDJPYOTC0920005006,AUDJPY-OTC,WAIT,45,5,AI (gemini-3.5-flash-lite),ตลาดอยู่ในภาวะ Sideway Range และมีความเสี่ยงสูงในการเปลี่ยนเทรนด์ระยะสั้น ควรอารักขาความเสี่ยงและรอจังหวะที่ชัดเจนกว่านี้
2026-09-20T00:51:18.376699,AUDJPYOTC0920005118,AUDJPY-OTC,WAIT,45,5,AI (gemini-3.5-flash-lite),มีความเสี่ยงสูงจากสัญญาณเตือน Bull Trap และ Divergence ฝั่งขาลง
